id,red1,red2,red3,red4,red5,red6,blue
2019038,9,12,21,27,29,30,5
2019037,1,7,12,14,18,25,10
2019036,2,10,13,16,23,32,8
2019035,1,5,7,9,10,20,16
2019034,9,11,15,22,24,26,3
2019033,9,15,19,21,23,29,15
2019032,4,8,9,13,28,33,4
2019031,3,13,15,18,21,33,16
2019030,4,5,7,10,12,22,16
2019029,8,11,17,23,32,33,10
2019028,4,19,22,26,29,30,11
2019027,2,6,8,10,11,17,13
2019026,3,13,15,19,20,27,14
2019025,15,16,21,27,30,33,4
2019024,1,8,23,25,28,29,10
2019023,1,10,14,15,18,31,13
2019022,3,7,11,21,30,33,7
2019021,2,5,7,8,20,27,4
2019020,2,12,13,23,27,28,12
2019019,3,11,17,18,24,25,6
2019018,4,11,18,19,26,32,4
2019017,4,5,24,28,30,33,9
2019016,5,7,9,11,19,25,5
2019015,11,15,16,20,24,31,4
2019014,1,2,3,14,19,33,3
2019013,5,7,14,16,18,21,1
2019012,7,10,21,23,31,33,14
2019011,10,13,19,21,24,30,7
2019010,2,4,5,8,11,30,2
2019009,1,7,10,22,31,32,15
2019008,2,6,9,13,28,32,12
2019007,6,10,14,15,19,23,15
2019006,1,5,10,19,26,28,12
2019005,21,22,26,28,31,32,7
2019004,8,12,16,19,26,32,3
2019003,13,17,20,21,22,27,1
2019002,4,5,6,8,9,18,11
2019001,6,10,13,15,32,33,15
2018153,1,7,17,23,25,31,11
2018152,4,14,16,23,28,29,3
2018151,5,15,19,25,26,29,15
2018150,6,8,15,19,20,31,5
2018149,1,7,8,10,12,24,1
2018148,3,6,18,19,21,31,1
2018147,3,15,17,23,27,30,11
2018146,2,10,11,17,18,29,16
2018145,3,9,13,22,23,25,6
2018144,8,13,17,18,20,27,13
2018143,4,6,15,28,32,33,14
2018142,5,8,10,11,27,28,11
2018141,11,14,16,18,24,33,4
2018140,1,15,20,22,25,28,14
2018139,11,18,20,23,31,32,15
2018138,1,10,25,27,30,32,9
2018137,3,5,11,15,20,23,9
2018136,10,12,15,25,26,27,14
2018135,1,3,6,10,11,29,16
2018134,3,16,18,31,32,33,12
2018133,2,4,11,12,18,32,13
2018132,1,2,9,10,15,22,6
2018131,21,22,24,31,32,33,1
2018130,5,12,17,18,24,28,12
2018129,2,4,6,16,18,19,16
2018128,6,7,8,19,22,23,2
2018127,2,5,6,7,11,15,12
2018126,1,6,8,9,14,22,5
2018125,3,10,11,14,15,32,2
2018124,9,13,14,19,22,25,2
2018123,13,21,24,27,31,32,1
2018122,5,7,20,22,30,32,10
2018121,6,8,14,19,23,25,11
2018120,3,4,18,26,27,33,1
2018119,3,13,14,16,25,27,12
2018118,8,12,21,22,27,31,9
2018117,8,11,15,17,23,25,5
2018116,5,14,17,22,23,28,15
2018115,1,13,19,24,26,29,11
2018114,1,7,15,16,20,27,14
2018113,1,6,9,16,25,26,9
2018112,5,8,18,25,26,31,4
2018111,1,7,14,24,25,28,8
2018110,11,13,16,21,22,23,2
2018109,10,11,18,23,31,33,15
2018108,5,13,18,21,26,30,2
2018107,1,2,5,12,20,22,1
2018106,4,18,19,24,25,26,10
2018105,4,5,13,18,19,25,1
2018104,2,3,6,19,25,29,1
2018103,2,9,15,22,23,24,16
2018102,2,6,11,19,21,28,5
2018101,1,3,14,26,29,33,9
2018100,2,11,14,15,29,33,2
2018099,3,7,8,14,25,32,6
2018098,6,10,11,20,29,32,13
2018097,1,2,17,20,25,28,13
2018096,1,5,9,20,28,32,12
2018095,10,11,12,21,26,33,9
2018094,4,7,16,20,24,30,5
2018093,4,18,20,21,29,33,7
2018092,6,10,16,19,24,33,16
2018091,6,11,13,17,25,32,7
2018090,1,2,4,10,14,23,7
2018089,6,9,12,14,18,27,14
2018088,3,5,12,29,30,32,14
2018087,1,5,10,16,18,31,3
2018086,2,7,17,21,23,26,16
2018085,4,10,25,26,30,33,6
2018084,5,6,8,12,22,24,3
2018083,4,9,18,21,32,33,3
2018082,6,12,14,20,22,24,9
2018081,1,2,12,16,20,26,3
2018080,4,7,13,20,29,33,3
2018079,14,15,17,22,24,29,13
2018078,3,10,14,17,18,30,12
2018077,2,5,9,15,20,24,10
2018076,3,7,8,15,29,30,13
2018075,7,9,12,13,22,24,11
2018074,9,11,14,20,27,30,9
2018073,2,9,14,15,16,23,10
2018072,11,16,19,22,25,30,8
2018071,2,5,6,13,16,19,3
2018070,4,9,15,16,19,27,10
2018069,6,13,17,19,23,31,12
2018068,8,10,17,20,27,30,1
2018067,1,4,9,12,15,18,5
2018066,9,16,17,19,22,26,10
2018065,1,4,6,14,28,33,1
2018064,2,5,10,11,17,21,5
2018063,5,6,10,16,20,25,12
2018062,2,18,19,24,25,33,11
2018061,9,10,11,12,18,23,7
